Наименование,Регистрационный номер,Дата регистрации,Статус,Регион регистрации,Организационно-правовая форма,Год,"Валовая прибыль (убыток), RUB","Всего использовано средств, RUB","Всего поступило средств, RUB","Выручка, RUB","Дебиторская задолженность, RUB","Денежные средства и денежные эквиваленты, RUB","Доходы от участия в других организациях, RUB","Заёмные средства (краткосрочные), RUB","Капитал и резервы, RUB","Коммерческие расходы, RUB","Кредиторская задолженность, RUB","Остаток средств на конец отчетного года, RUB","Пассивы всего, RUB","Прибыль (убыток) до налогообложения , RUB","Прибыль (убыток) от продажи, RUB","Прибыль от приносящей доход деятельности, RUB","Приобретение основных средств, инвентаря и иного имущества, RUB","Проценты к получению, RUB","Проценты к уплате, RUB","Прочие доходы, RUB","Прочие расходы, RUB","Расходы на содержание аппарата управления, RUB","Расходы на целевые мероприятия, RUB","Себестоимость продаж, RUB",Среднесписочная численность работников,"Текущий налог на прибыль, RUB","Управленческие расходы, RUB","Чистая прибыль (убыток), RUB",численность_доп_признак,численность_новая
ОБЩЕСТВЕННЫЙ ФОНД ПОМОЩИ РЕПАТРИАНТАМ РЕСПУБЛИКИ АДЫГЕЯ,1020100706780.0,1997-12-22 00:00:00,Действующая,Адыгея (Республика) (Адыгея),Общественные фонды,2017,,158000.0,153000.0,,,3000.0,,,3000.0,,,3000.0,3000.0,,,,,,,,,,155000.0,,,,,,,
ОБЩЕСТВЕННЫЙ ФОНД ПОМОЩИ РЕПАТРИАНТАМ РЕСПУБЛИКИ АДЫГЕЯ,1020100706780.0,1997-12-22 00:00:00,Действующая,Адыгея (Республика) (Адыгея),Общественные фонды,2018,,70000.0,83000.0,,,16000.0,,,16000.0,,,16000.0,16000.0,,,,,,,,,,70000.0,,,,,,,
ОБЩЕСТВЕННЫЙ ФОНД ПОМОЩИ РЕПАТРИАНТАМ РЕСПУБЛИКИ АДЫГЕЯ,1020100706780.0,1997-12-22 00:00:00,Действующая,Адыгея (Республика) (Адыгея),Общественные фонды,2019,,76000.0,71000.0,,,11000.0,,,11000.0,,,11000.0,11000.0,,,,,,,,,,76000.0,,,,,,,
ОБЩЕСТВЕННЫЙ ФОНД ПОМОЩИ РЕПАТРИАНТАМ РЕСПУБЛИКИ АДЫГЕЯ,1020100706780.0,1997-12-22 00:00:00,Действующая,Адыгея (Республика) (Адыгея),Общественные фонды,2020,,50000.0,132000.0,,,93000.0,,,93000.0,,,93000.0,93000.0,,,,,,,,,1000.0,45000.0,,,,,,,
ОБЩЕСТВЕННЫЙ ФОНД ПОМОЩИ РЕПАТРИАНТАМ РЕСПУБЛИКИ АДЫГЕЯ,1020100706780.0,1997-12-22 00:00:00,Действующая,Адыгея (Республика) (Адыгея),Общественные фонды,2021,,493000.0,470000.0,,,70000.0,,,70000.0,,,70000.0,70000.0,,,,,,,,,97000.0,355000.0,,,,,,,
"РДФ, БАШКИРСКОЕ РЕСПУБЛИКАНСКОЕ ОТДЕЛЕНИЕ ООБФ",1020200001711.0,1992-12-30 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2017,,,2078000.0,,16000.0,78000.0,,,568000.0,,,568000.0,568000.0,,,,,,,,,748000.0,1581000.0,,0 - 5,,,,до 5,Малые (1-15)
"РДФ, БАШКИРСКОЕ РЕСПУБЛИКАНСКОЕ ОТДЕЛЕНИЕ ООБФ",1020200001711.0,1992-12-30 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2018,,1885000.0,2251000.0,,70000.0,412000.0,,,934000.0,,74000.0,934000.0,1008000.0,,,,,,,,,1381000.0,487000.0,,,,,,,Малые (1-15)
"РДФ, БАШКИРСКОЕ РЕСПУБЛИКАНСКОЕ ОТДЕЛЕНИЕ ООБФ",1020200001711.0,1992-12-30 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2019,,3107000.0,2912000.0,,,495000.0,,,,,314000.0,739000.0,1053000.0,,,,,,,,,800000.0,2228000.0,,,,,,,Крупные (151-1000)
"РДФ, БАШКИРСКОЕ РЕСПУБЛИКАНСКОЕ ОТДЕЛЕНИЕ ООБФ",1020200001711.0,1992-12-30 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2020,,1960000.0,2008000.0,,335000.0,465000.0,,,,,486000.0,787000.0,1273000.0,,,,,,,,,1039000.0,921000.0,,,,,,,Крупные (151-1000)
"РДФ, БАШКИРСКОЕ РЕСПУБЛИКАНСКОЕ ОТДЕЛЕНИЕ ООБФ",1020200001711.0,1992-12-30 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2021,,2044000.0,1512000.0,,275000.0,39000.0,,,,,516000.0,255000.0,771000.0,,,,,,,,,989000.0,1030000.0,,,,,,,Крупные (151-1000)
"БАШКОРТ, БФ",1020201582345.0,2001-03-15 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2017,,,,,,,,,10000.0,,,,10000.0,,,,,,,,,,,,,,,,,
"БАШКОРТ, БФ",1020201582345.0,2001-03-15 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БАШКОРТ, БФ",1020201582345.0,2001-03-15 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БАШКОРТ, БФ",1020201582345.0,2001-03-15 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2020,,,,,,,,,10000.0,,,,10000.0,,,,,,,,,,,,,,,,,
"БАШКОРТ, БФ",1020201582345.0,2001-03-15 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2021,,,,,,,,,10000.0,,,,10000.0,,,,,,,,,,,,,,,,,
"ОТЕЧЕСТВО, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1020202550884.0,2002-02-01 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2017,,649000.0,750000.0,,,129000.0,,,129000.0,,,129000.0,129000.0,,,,,,,,,623000.0,3000.0,,0 - 5,,,,до 5,Малые (1-15)
"ОТЕЧЕСТВО, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1020202550884.0,2002-02-01 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2018,,530000.0,450000.0,,,49000.0,,,49000.0,,,49000.0,49000.0,,,,,,,,,526000.0,4000.0,,,,,,,Малые (1-15)
"ОТЕЧЕСТВО, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1020202550884.0,2002-02-01 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2019,,395000.0,375000.0,,,22000.0,,,22000.0,,,,22000.0,,,,,,,,,395000.0,,,,,,,,Малые (1-15)
"ОТЕЧЕСТВО, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1020202550884.0,2002-02-01 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Малые (1-15)
"ОТЕЧЕСТВО, БЛАГОТВОРИТЕЛЬНЫЙ ФОНД",1020202550884.0,2002-02-01 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Средние (16-150)
"РОДИТЕЛЬСКАЯ ЗАБОТА ГИМНАЗИИ №115, БФ",1020203223666.0,2002-09-06 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2017,,585000.0,606000.0,,,116000.0,,,,,,116000.0,116000.0,,,,283000.0,,,,,247000.0,55000.0,,0 - 5,,,,до 5,Малые (1-15)
"РОДИТЕЛЬСКАЯ ЗАБОТА ГИМНАЗИИ №115, БФ",1020203223666.0,2002-09-06 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2018,,298000.0,338000.0,,,156000.0,,,156000.0,,,156000.0,156000.0,,,,35000.0,,,,,184000.0,79000.0,,,,,,,Малые (1-15)
"РОДИТЕЛЬСКАЯ ЗАБОТА ГИМНАЗИИ №115, БФ",1020203223666.0,2002-09-06 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2019,,289000.0,361000.0,,,228000.0,,,228000.0,,,228000.0,228000.0,,,,93000.0,,,,,151000.0,20000.0,,,,,,,Средние (16-150)
"РОДИТЕЛЬСКАЯ ЗАБОТА ГИМНАЗИИ №115, БФ",1020203223666.0,2002-09-06 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2020,,317000.0,229000.0,,,140000.0,,,140000.0,,,140000.0,140000.0,,,,49000.0,,,,,247000.0,,,,,,,,Средние (16-150)
"РОДИТЕЛЬСКАЯ ЗАБОТА ГИМНАЗИИ №115, БФ",1020203223666.0,2002-09-06 00:00:00,Действующая,Башкортостан (Республика),Благотворительные фонды,2021,,175000.0,137000.0,,,100000.0,,,100000.0,,,100000.0,100000.0,,,,,,,,,175000.0,,,,,,,,Крупные (151-1000)
"ГАЗЕТА СУДЬБА, БФ",1020300003107.0,1997-03-03 00:00:00,Действующая,Бурятия (Республика),Благотворительные фонды,2017,486000.0,220000.0,499000.0,486000.0,,1019000.0,,,-683000.0,486000.0,34000.0,479000.0,1019000.0,,,,,,,,,,,,0 - 5,,,,до 5,Малые (1-15)
"ГАЗЕТА СУДЬБА, БФ",1020300003107.0,1997-03-03 00:00:00,Действующая,Бурятия (Республика),Благотворительные фонды,2018,698000.0,623000.0,144000.0,698000.0,1000.0,731000.0,,,-683000.0,698000.0,6000.0,,732000.0,,,,,,,,,,,,,,,,,Средние (16-150)
"ГАЗЕТА СУДЬБА, БФ",1020300003107.0,1997-03-03 00:00:00,Действующая,Бурятия (Республика),Благотворительные фонды,2019,564000.0,350000.0,350000.0,564000.0,9000.0,572000.0,,,-683000.0,564000.0,7000.0,,581000.0,,,,,,,,,,,,,,,,,Средние (16-150)
"ГАЗЕТА СУДЬБА, БФ",1020300003107.0,1997-03-03 00:00:00,Действующая,Бурятия (Республика),Благотворительные фонды,2020,356000.0,600000.0,600000.0,356000.0,2000.0,307000.0,,,-683000.0,356000.0,4000.0,,309000.0,,,,,,,,,,,,,,,,,Средние (16-150)
"ГАЗЕТА СУДЬБА, БФ",1020300003107.0,1997-03-03 00:00:00,Действующая,Бурятия (Республика),Благотворительные фонды,2021,265000.0,325000.0,325000.0,265000.0,3000.0,359000.0,,,-683000.0,265000.0,8000.0,,362000.0,,,,,,,,,,,,,,,,,Средние (16-150)
"ОБЩЕСТВО БЕЗ БАРЬЕРОВ, РОФ",1020300003492.0,1990-06-08 00:00:00,Действующая,Бурятия (Республика),Общественные фонды,2017,,4123000.0,4105000.0,,,297000.0,,,92000.0,,205000.0,92000.0,297000.0,,,,,,,,,,2416000.0,,0 - 5,,,,до 5,Малые (1-15)
"ОБЩЕСТВО БЕЗ БАРЬЕРОВ, РОФ",1020300003492.0,1990-06-08 00:00:00,Действующая,Бурятия (Республика),Общественные фонды,2018,,4908000.0,5206000.0,,,326000.0,,,326000.0,,,326000.0,326000.0,,,,752000.0,,,,,1412000.0,2744000.0,,,,,,,Малые (1-15)
"ОБЩЕСТВО БЕЗ БАРЬЕРОВ, РОФ",1020300003492.0,1990-06-08 00:00:00,Действующая,Бурятия (Республика),Общественные фонды,2019,,3131000.0,2805000.0,,5000.0,46000.0,,,,,51000.0,,51000.0,,,,,,,,,1036000.0,2095000.0,,,,,,,Малые (1-15)
"ОБЩЕСТВО БЕЗ БАРЬЕРОВ, РОФ",1020300003492.0,1990-06-08 00:00:00,Действующая,Бурятия (Республика),Общественные фонды,2020,,692000.0,718000.0,,5000.0,53000.0,,,26000.0,,32000.0,26000.0,58000.0,,,,,,,,,502000.0,190000.0,,,,,,,Малые (1-15)
"ОБЩЕСТВО БЕЗ БАРЬЕРОВ, РОФ",1020300003492.0,1990-06-08 00:00:00,Действующая,Бурятия (Республика),Общественные фонды,2021,,1439000.0,1899000.0,,9000.0,582000.0,,,486000.0,,105000.0,486000.0,591000.0,,,,,,,,,558000.0,881000.0,,,,,,,Малые (1-15)
"БУРЯАД ЗУРАГ, РЕГИОНАЛЬНЫЙ ОБЩЕСТВЕННЫЙ ФОНД ВОЗРОЖДЕНИЯ СТАРОБУРЯТСКОГОИСКУССТВА",1020300003998.0,2000-10-20 00:00:00,Действующая,Бурятия (Республика),Общественные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"БУРЯАД ЗУРАГ, РЕГИОНАЛЬНЫЙ ОБЩЕСТВЕННЫЙ ФОНД ВОЗРОЖДЕНИЯ СТАРОБУРЯТСКОГОИСКУССТВА",1020300003998.0,2000-10-20 00:00:00,Действующая,Бурятия (Республика),Общественные фонды,2018,,34000.0,34000.0,,549000.0,,,,,,549000.0,,549000.0,,,,,,,34000.0,34000.0,13000.0,21000.0,,,,,,,
"БУРЯАД ЗУРАГ, РЕГИОНАЛЬНЫЙ ОБЩЕСТВЕННЫЙ ФОНД ВОЗРОЖДЕНИЯ СТАРОБУРЯТСКОГОИСКУССТВА",1020300003998.0,2000-10-20 00:00:00,Действующая,Бурятия (Республика),Общественные фонды,2019,,71000.0,21000.0,,234000.0,,,,,,234000.0,-50000.0,234000.0,,,,,,,71000.0,71000.0,50000.0,21000.0,,,,,,,
"БУРЯАД ЗУРАГ, РЕГИОНАЛЬНЫЙ ОБЩЕСТВЕННЫЙ ФОНД ВОЗРОЖДЕНИЯ СТАРОБУРЯТСКОГОИСКУССТВА",1020300003998.0,2000-10-20 00:00:00,Действующая,Бурятия (Республика),Общественные фонды,2020,,21000.0,121000.0,,173000.0,,,,,,173000.0,100000.0,173000.0,,,,,,,121000.0,121000.0,,21000.0,,,,,,,
"БУРЯАД ЗУРАГ, РЕГИОНАЛЬНЫЙ ОБЩЕСТВЕННЫЙ ФОНД ВОЗРОЖДЕНИЯ СТАРОБУРЯТСКОГОИСКУССТВА",1020300003998.0,2000-10-20 00:00:00,Действующая,Бурятия (Республика),Общественные фонды,2021,,22000.0,22000.0,,277000.0,,,,,,277000.0,,277000.0,22000.0,,,,,,22000.0,,,22000.0,,,,,22000.0,,
"РОСДЕТФОНД, БО ООБФ",1020300006847.0,1991-11-01 00:00:00,Действующая,Бурятия (Республика),Благотворительные фонды,2017,,2657000.0,2525000.0,,326000.0,52000.0,,,309000.0,,194000.0,179000.0,503000.0,,,,64000.0,,,,,1836000.0,757000.0,,0 - 5,,,,до 5,Малые (1-15)
"РОСДЕТФОНД, БО ООБФ",1020300006847.0,1991-11-01 00:00:00,Действующая,Бурятия (Республика),Благотворительные фонды,2018,,1832000.0,1759000.0,157000.0,16000.0,35000.0,,,106000.0,,10000.0,106000.0,116000.0,,,355000.0,,,,,,777000.0,974000.0,157000.0,,,,,,Малые (1-15)
"РОСДЕТФОНД, БО ООБФ",1020300006847.0,1991-11-01 00:00:00,Действующая,Бурятия (Республика),Благотворительные фонды,2019,,931000.0,1088000.0,46000.0,111000.0,,,,,,44000.0,263000.0,307000.0,,,186000.0,,,,,,510000.0,421000.0,46000.0,,,,,,Малые (1-15)
"РОСДЕТФОНД, БО ООБФ",1020300006847.0,1991-11-01 00:00:00,Действующая,Бурятия (Республика),Благотворительные фонды,2020,35000.0,700000.0,637000.0,43000.0,148000.0,89000.0,,,393000.0,,9000.0,200000.0,401000.0,28000.0,35000.0,230000.0,,,,,7000.0,55000.0,645000.0,8000.0,,,,28000.0,,Малые (1-15)
"РОСДЕТФОНД, БО ООБФ",1020300006847.0,1991-11-01 00:00:00,Действующая,Бурятия (Республика),Благотворительные фонды,2021,,1222000.0,1144000.0,,253000.0,25000.0,,,233000.0,,55000.0,122000.0,288000.0,,,,,,,,,412000.0,810000.0,,,,,,,Малые (1-15)
БАЙКАЛЬСКИЙ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД,1020300905195.0,2000-05-10 00:00:00,Действующая,Бурятия (Республика),Благотворительные фонды,2017,,,,,,6000.0,,,56000.0,,,,56000.0,,,,,,,,,,,,0 - 5,,,,до 5,Малые (1-15)
БАЙКАЛЬСКИЙ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД,1020300905195.0,2000-05-10 00:00:00,Действующая,Бурятия (Республика),Благотворительные фонды,2018,,,,,,6000.0,,,56000.0,,,,56000.0,,,,,,,,,,,,,,,,,Малые (1-15)
БАЙКАЛЬСКИЙ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД,1020300905195.0,2000-05-10 00:00:00,Действующая,Бурятия (Республика),Благотворительные фонды,2019,,,,,,6000.0,,,56000.0,,,,56000.0,,,,,,,,,,,,,,,,,Средние (16-150)
БАЙКАЛЬСКИЙ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД,1020300905195.0,2000-05-10 00:00:00,Действующая,Бурятия (Республика),Благотворительные фонды,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Средние (16-150)
БАЙКАЛЬСКИЙ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД,1020300905195.0,2000-05-10 00:00:00,Действующая,Бурятия (Республика),Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Средние (16-150)
"РДФ, АЛТАЙСКОЕ РЕСПУБЛИКАНСКОЕ ОТДЕЛЕНИЕ ОО БФ",1020400000235.0,1993-11-09 00:00:00,Действующая,Алтай (Республика),Благотворительные фонды,2017,,31000.0,31000.0,,,,,,4000.0,,13000.0,,4000.0,,,,,,,31000.0,31000.0,,31000.0,,0 - 5,,,,до 5,Малые (1-15)
"РДФ, АЛТАЙСКОЕ РЕСПУБЛИКАНСКОЕ ОТДЕЛЕНИЕ ОО БФ",1020400000235.0,1993-11-09 00:00:00,Действующая,Алтай (Республика),Благотворительные фонды,2018,,,,,,,,,-9000.0,,13000.0,,4000.0,,,,,,,,,,,,,,,,,Малые (1-15)
"РДФ, АЛТАЙСКОЕ РЕСПУБЛИКАНСКОЕ ОТДЕЛЕНИЕ ОО БФ",1020400000235.0,1993-11-09 00:00:00,Действующая,Алтай (Республика),Благотворительные фонды,2019,,,,,,,,,-9000.0,,13000.0,,4000.0,,,,,,,,,,,,,,,,,Малые (1-15)
"РДФ, АЛТАЙСКОЕ РЕСПУБЛИКАНСКОЕ ОТДЕЛЕНИЕ ОО БФ",1020400000235.0,1993-11-09 00:00:00,Действующая,Алтай (Республика),Благотворительные фонды,2020,,,,,,11000.0,,,11000.0,,,,11000.0,20000.0,,,,,,24000.0,4000.0,,,,,,,20000.0,,Малые (1-15)
"РДФ, АЛТАЙСКОЕ РЕСПУБЛИКАНСКОЕ ОТДЕЛЕНИЕ ОО БФ",1020400000235.0,1993-11-09 00:00:00,Действующая,Алтай (Республика),Благотворительные фонды,2021,,37000.0,28000.0,,,2000.0,,,2000.0,,,2000.0,2000.0,-9000.0,,,,,,28000.0,37000.0,,37000.0,,,,,-9000.0,,Малые (1-15)
"В.И. ЧАПТЫНОВА, ФОНД ИМ.",1020400000664.0,1998-06-01 00:00:00,Действующая,Алтай (Республика),Общественные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,0 - 5,,,,до 5,Малые (1-15)
"В.И. ЧАПТЫНОВА, ФОНД ИМ.",1020400000664.0,1998-06-01 00:00:00,Действующая,Алтай (Республика),Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Малые (1-15)
"В.И. ЧАПТЫНОВА, ФОНД ИМ.",1020400000664.0,1998-06-01 00:00:00,Действующая,Алтай (Республика),Общественные фонды,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Крупные (151-1000)
"В.И. ЧАПТЫНОВА, ФОНД ИМ.",1020400000664.0,1998-06-01 00:00:00,Действующая,Алтай (Республика),Общественные фонды,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Средние (16-150)
"В.И. ЧАПТЫНОВА, ФОНД ИМ.",1020400000664.0,1998-06-01 00:00:00,Действующая,Алтай (Республика),Общественные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Средние (16-150)
"ФОНД РАЗВИТИЯ ШКОЛЫ № 2, МО",1020400000675.0,2000-08-09 00:00:00,Действующая,Алтай (Республика),Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ФОНД РАЗВИТИЯ ШКОЛЫ № 2, МО",1020400000675.0,2000-08-09 00:00:00,Действующая,Алтай (Республика),Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ФОНД РАЗВИТИЯ ШКОЛЫ № 2, МО",1020400000675.0,2000-08-09 00:00:00,Действующая,Алтай (Республика),Благотворительные фонды,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ФОНД РАЗВИТИЯ ШКОЛЫ № 2, МО",1020400000675.0,2000-08-09 00:00:00,Действующая,Алтай (Республика),Благотворительные фонды,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ФОНД РАЗВИТИЯ ШКОЛЫ № 2, МО",1020400000675.0,2000-08-09 00:00:00,Действующая,Алтай (Республика),Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДРОАФ,1020500000113.0,2002-08-16 00:00:00,Действующая,Дагестан (Республика),Общественные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДРОАФ,1020500000113.0,2002-08-16 00:00:00,Действующая,Дагестан (Республика),Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДРОАФ,1020500000113.0,2002-08-16 00:00:00,Действующая,Дагестан (Республика),Общественные фонды,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДРОАФ,1020500000113.0,2002-08-16 00:00:00,Действующая,Дагестан (Республика),Общественные фонды,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДРОАФ,1020500000113.0,2002-08-16 00:00:00,Действующая,Дагестан (Республика),Общественные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ЭКОЛОГИЧЕСКИЙ ФОНД УЧАЩИХСЯ,1020500000850.0,1996-06-30 00:00:00,Действующая,Дагестан (Республика),Экологические фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ЭКОЛОГИЧЕСКИЙ ФОНД УЧАЩИХСЯ,1020500000850.0,1996-06-30 00:00:00,Действующая,Дагестан (Республика),Экологические фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ЭКОЛОГИЧЕСКИЙ ФОНД УЧАЩИХСЯ,1020500000850.0,1996-06-30 00:00:00,Действующая,Дагестан (Республика),Экологические фонды,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ЭКОЛОГИЧЕСКИЙ ФОНД УЧАЩИХСЯ,1020500000850.0,1996-06-30 00:00:00,Действующая,Дагестан (Республика),Экологические фонды,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ЭКОЛОГИЧЕСКИЙ ФОНД УЧАЩИХСЯ,1020500000850.0,1996-06-30 00:00:00,Действующая,Дагестан (Республика),Экологические фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БАРАКАТ,1020500001060.0,2002-10-22 00:00:00,Действующая,Дагестан (Республика),Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БАРАКАТ,1020500001060.0,2002-10-22 00:00:00,Действующая,Дагестан (Республика),Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БАРАКАТ,1020500001060.0,2002-10-22 00:00:00,Действующая,Дагестан (Республика),Благотворительные фонды,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БАРАКАТ,1020500001060.0,2002-10-22 00:00:00,Действующая,Дагестан (Республика),Благотворительные фонды,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
БАРАКАТ,1020500001060.0,2002-10-22 00:00:00,Действующая,Дагестан (Республика),Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ДАГЕСТАН, РБОФ",1020500001136.0,2000-11-15 00:00:00,Действующая,Дагестан (Республика),Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ДАГЕСТАН, РБОФ",1020500001136.0,2000-11-15 00:00:00,Действующая,Дагестан (Республика),Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ДАГЕСТАН, РБОФ",1020500001136.0,2000-11-15 00:00:00,Действующая,Дагестан (Республика),Благотворительные фонды,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ДАГЕСТАН, РБОФ",1020500001136.0,2000-11-15 00:00:00,Действующая,Дагестан (Республика),Благотворительные фонды,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ДАГЕСТАН, РБОФ",1020500001136.0,2000-11-15 00:00:00,Действующая,Дагестан (Республика),Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЗДОРОВЬЕ ЧЕЛОВЕКА, ФОНД",1020500001202.0,1996-11-05 00:00:00,Действующая,Дагестан (Республика),Общественные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЗДОРОВЬЕ ЧЕЛОВЕКА, ФОНД",1020500001202.0,1996-11-05 00:00:00,Действующая,Дагестан (Республика),Общественные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЗДОРОВЬЕ ЧЕЛОВЕКА, ФОНД",1020500001202.0,1996-11-05 00:00:00,Действующая,Дагестан (Республика),Общественные фонды,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЗДОРОВЬЕ ЧЕЛОВЕКА, ФОНД",1020500001202.0,1996-11-05 00:00:00,Действующая,Дагестан (Республика),Общественные фонды,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЗДОРОВЬЕ ЧЕЛОВЕКА, ФОНД",1020500001202.0,1996-11-05 00:00:00,Действующая,Дагестан (Республика),Общественные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ИМ.АБУБАКАРОВА, ОБФ",1020500001664.0,1999-04-22 00:00:00,Действующая,Дагестан (Республика),Благотворительные фонды,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ИМ.АБУБАКАРОВА, ОБФ",1020500001664.0,1999-04-22 00:00:00,Действующая,Дагестан (Республика),Благотворительные фонды,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ИМ.АБУБАКАРОВА, ОБФ",1020500001664.0,1999-04-22 00:00:00,Действующая,Дагестан (Республика),Благотворительные фонды,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ИМ.АБУБАКАРОВА, ОБФ",1020500001664.0,1999-04-22 00:00:00,Действующая,Дагестан (Республика),Благотворительные фонды,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ИМ.АБУБАКАРОВА, ОБФ",1020500001664.0,1999-04-22 00:00:00,Действующая,Дагестан (Республика),Благотворительные фонды,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
РЕГИОНАЛЬНЫЙ БЛАГОТВОРИТЕЛЬНЫЙ ОБЩЕСТВЕННЫЙ ФОНД ИМЕНИ ШЕЙХА АБДУРАХМАНА-ХАДЖИ,1020500001741.0,2001-05-25 00:00:00,Действующая,Дагестан (Республика),Благотворительные фонды,2017,,1222000.0,1222000.0,,,57000.0,,61000.0,-4000.0,,,,57000.0,-122000.0,-122000.0,,,,,,,110000.0,1112000.0,,0 - 5,,122000.0,-122000.0,до 5,Малые (1-15)
